artist,track,isrc,source,chart,isrc_source,release_date,eligibility
GloRilla,Tomorrow 2 ft. Cardi B,,manual,female-rappers-2025,miss,,UNKNOWN
GloRilla,Blessed ft. Offset,,manual,female-rappers-2025,miss,,UNKNOWN
GloRilla,TGIF,USUM72407388,manual,female-rappers-2025,musicbrainz,2024-06-21,FULL (1.8yr old)
GloRilla,Wanna Be ft. Megan Thee Stallion,,manual,female-rappers-2025,miss,,UNKNOWN
GloRilla,Nut Quick,USUM72221353,manual,female-rappers-2025,musicbrainz,2022-11-11,PARTIAL (2022)
GloRilla,F.N.F. (Let's Go) (Remix) ft. Latto,,manual,female-rappers-2025,miss,,UNKNOWN
GloRilla,Never Lose Me (Remix) ft. Flo Milli,,manual,female-rappers-2025,miss,,UNKNOWN
GloRilla,Yeah Glo!,USUV72400196,manual,female-rappers-2025,musicbrainz,2024-04-05,FULL (2.0yr old)
GloRilla,Lick or Sum ft. Glorilla & Moneybagg Yo,USUM72307096,manual,female-rappers-2025,musicbrainz,2023-11-29,FULL (2.3yr old)
Anycia,Never Need (Remix) ft. GloRilla & KARRAHBOOO,USUG12503175,manual,female-rappers-2025,musicbrainz,2025-06-27,FULL (0.7yr old)
Anycia,BACK OUTSIDE ft. Latto,QZJG52414720,manual,female-rappers-2025,deezer,2024-01-19,FULL (2.2yr old)
Anycia,do it 4 the gram (remix),,manual,female-rappers-2025,miss,,UNKNOWN
Anycia,Put Up,QZNB82593111,manual,female-rappers-2025,deezer,2025-07-18,FULL (0.7yr old)
Anycia,SMOKE YOU OUT,QZNMX2482870,manual,female-rappers-2025,musicbrainz,2024-11-13,FULL (1.4yr old)
Anycia,On My Mama ft. GloRilla,,manual,female-rappers-2025,miss,,UNKNOWN
KARRAHBOOO,KARRAHBOOO,QZWFR2336054,manual,female-rappers-2025,deezer,2023-12-27,FULL (2.2yr old)
KARRAHBOOO,Say Sum (Remix),,manual,female-rappers-2025,miss,,UNKNOWN
KARRAHBOOO,Eenie Meenie ft. GloRilla,,manual,female-rappers-2025,miss,,UNKNOWN
Doechii,Denial Is a River,USUG12405681,manual,female-rappers-2025,musicbrainz,2025-04-04,FULL (1.0yr old)
Doechii,Anxiety,USUMV2501401,manual,female-rappers-2025,musicbrainz,2025-03-05,FULL (1.1yr old)
Doechii,Nissan Altima,USUMV2402667,manual,female-rappers-2025,musicbrainz,2024-08-30,FULL (1.6yr old)
