artist,track,isrc,source,chart,isrc_source,release_date,eligibility
Kirk Franklin,Love Theory,USA5W1800322,manual,gospel-soul-2025,deezer,2019-05-31,PARTIAL (2019)
Kirk Franklin,Just for Me (Remix) ft. Lil Baby,,manual,gospel-soul-2025,miss,,UNKNOWN
Kirk Franklin,My Life Is in Your Hands (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Kirk Franklin,Melodies From Heaven (Remix),USGCR0600237,manual,gospel-soul-2025,deezer,2001-11-01,CHECK — streaming? (2001)
Kirk Franklin,Revolution (Remix) ft. Ledisi,,manual,gospel-soul-2025,miss,,UNKNOWN
Kirk Franklin,Wanna Be Happy (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Kirk Franklin,123 Victory (Remix),USRC11601309,manual,gospel-soul-2025,musicbrainz,2016-09-02,CHECK — streaming? (2016)
Tasha Cobbs Leonard,You Know My Name ft. Jimi Cravity,,manual,gospel-soul-2025,miss,,UNKNOWN
Tasha Cobbs Leonard,This Is a Move ft. Bethel Music,,manual,gospel-soul-2025,miss,,UNKNOWN
Tasha Cobbs Leonard,Break Every Chain (Remix),QZTAX2359371,manual,gospel-soul-2025,deezer,2023-10-13,FULL (2.4yr old)
Tasha Cobbs Leonard,Fill Me Up / Overflow (Live) (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Tasha Cobbs Leonard,Goodness of God ft. Jenn Johnson,,manual,gospel-soul-2025,miss,,UNKNOWN
Tasha Cobbs Leonard,Put a Praise on It ft. Kierra Sheard,,manual,gospel-soul-2025,miss,,UNKNOWN
Maverick City Music,Promises ft. Joe L Barnes & Naomi Raine,,manual,gospel-soul-2025,miss,2019-12-10,PARTIAL (2019)
Maverick City Music,Jireh ft. Elevation Worship,,manual,gospel-soul-2025,miss,,UNKNOWN
Maverick City Music,Man of Your Word ft. Chandler Moore & KJ Scriven,,manual,gospel-soul-2025,miss,2020-04-17,PARTIAL (2020)
Maverick City Music,Hosanna (Praise Is Rising) (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Maverick City Music,Talking to Jesus ft. Elevation Worship,,manual,gospel-soul-2025,miss,,UNKNOWN
Maverick City Music,Wait on You ft. Elevation Worship & Chandler Moore,,manual,gospel-soul-2025,miss,2008,CHECK — streaming? (2008)
Maverick City Music,Refiner ft. Steffany Gretzinger,TCAEM1957437,manual,gospel-soul-2025,deezer,2019-11-12,PARTIAL (2019)
Elevation Worship,Graves Into Gardens ft. Brandon Lake,USPJT2000033,manual,gospel-soul-2025,deezer,2020-08-07,PARTIAL (2020)
Elevation Worship,O Come to the Altar (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Elevation Worship,Do It Again (Remix) ft. Tauren Wells,,manual,gospel-soul-2025,miss,,UNKNOWN
Elevation Worship,Worthy (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Lecrae,Blessings ft. Andy Mineo,,manual,gospel-soul-2025,miss,,UNKNOWN
Lecrae,Andy Mineo All I Need Is You (Remix) ft. Lecrae,,manual,gospel-soul-2025,miss,,UNKNOWN
Lecrae,Telling the World (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Lecrae,Mayday ft. Propaganda,,manual,gospel-soul-2025,miss,,UNKNOWN
Lecrae,Can't Stop Me Now (Destination) ft. Trip Lee,,manual,gospel-soul-2025,miss,,UNKNOWN
Andy Mineo,You Can't Stop Me (Remix),QMTND1101501,manual,gospel-soul-2025,deezer,2018-04-11,CHECK — streaming? (2018)
Andy Mineo,Uncomfortable (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Andy Mineo,Uno Uno Seis ft. KB,,manual,gospel-soul-2025,miss,,UNKNOWN
Jonathan McReynolds,Not Lucky I'm Loved,,manual,gospel-soul-2025,miss,2018-09-07,CHECK — streaming? (2018)
Jonathan McReynolds,Cycles (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
Jonathan McReynolds,Make Room (Remix) ft. Mali Music,,manual,gospel-soul-2025,miss,,UNKNOWN
Jonathan McReynolds,People,,manual,gospel-soul-2025,miss,2020-04-03,PARTIAL (2020)
Jonathan McReynolds,Grace (Remix),,manual,gospel-soul-2025,miss,,UNKNOWN
