name,instagram,tiktok,spotify,genre,country,followers_est,distributor,verify
MAVI,@mavi,@mavi,MAVI,hip-hop,United States,100k-250k,unknown,check
Pink Siifu,@pinksiifu,@pinksiifu,Pink Siifu,hip-hop,United States,25k-100k,unknown,check
ovrkast.,@ovrkast,@ovrkast,ovrkast.,hip-hop,United States,25k-100k,unknown,check
Navy Blue,@sagenavy,@sagenavy,Navy Blue,hip-hop,United States,100k-250k,unknown,check
MIKE,@dudewithabag,@dudewithabag,MIKE,hip-hop,United States,100k-250k,10k,check
Armand Hammer,@armandhammerduo,,Armand Hammer,hip-hop,United States,25k-100k,Backwoodz,check
billy woods,@billywoods,,billy woods,hip-hop,United States,25k-100k,Backwoodz,check
ELUCID,@elucidofficial,,ELUCID,hip-hop,United States,25k-100k,Backwoodz,check
Mach-Hommy,@machhommy,,Mach-Hommy,hip-hop,Haiti/US,100k-250k,unknown,check
Ka,@iamka,,Ka,hip-hop,United States,25k-100k,unknown,check
Flee Lord,@fleelordofficial,,Flee Lord,hip-hop,United States,25k-100k,unknown,check
Stove God Cooks,@stovegodcooks,,Stove God Cooks,hip-hop,United States,25k-100k,unknown,check
Che Noir,@thatb__,,Che Noir,hip-hop,United States,25k-100k,unknown,check
Ransom,@ransom1m,,Ransom,hip-hop,United States,25k-100k,unknown,check
Eto,@rhyme_spitta,,Eto,hip-hop,United States,5k-25k,unknown,check
Roc Marciano,@rocmarci,,Roc Marciano,hip-hop,United States,100k-250k,unknown,check
Apollo Brown,@apollobrown,,Apollo Brown,hip-hop,United States,25k-100k,Mello Music,check
Evidence,@evidence,,Evidence,hip-hop,United States,100k-250k,Rhymesayers,check
Homeboy Sandman,@theboysand,,Homeboy Sandman,hip-hop,United States,25k-100k,Mello Music,check
Open Mike Eagle,@mike_eagle,,Open Mike Eagle,hip-hop,United States,25k-100k,unknown,check
Quelle Chris,@quellechris,,Quelle Chris,hip-hop,United States,25k-100k,Mello Music,check
Redveil,@redveilmusic,@redveilmusic,redveil,hip-hop,United States,100k-250k,unknown,check
Maxo,@maxosux,,Maxo,hip-hop,United States,25k-100k,Def Jam,check
Kenny Mason,@kennymason,,Kenny Mason,hip-hop,United States,100k-250k,RCA,check
Koncept Jack$on,@konceptjackson,,Koncept Jack$on,hip-hop,United States,5k-25k,unknown,check
Zelooperz,@zelooperz,,Zelooperz,hip-hop,United States,25k-100k,Bruiser,check
McKinley Dixon,@mckinleydixon,,McKinley Dixon,hip-hop,United States,25k-100k,City Slang,check
Saba,@saba,,Saba,hip-hop,United States,100k-250k,unknown,check
IDK,@idk,,IDK,hip-hop,United States,100k-250k,unknown,check
Pell,@pellyeah,,Pell,hip-hop,United States,25k-100k,unknown,check
Boldy James,@boldyjames,,Boldy James,hip-hop,United States,100k-250k,Griselda,check
Cousin Stizz,@cousinstizz,,Cousin Stizz,hip-hop,United States,100k-250k,unknown,check
Kota the Friend,@kotathefriend,,KOTA The Friend,hip-hop,United States,250k+,FLTBYS,check
Caleb Giles,@calebgiles,,Caleb Giles,hip-hop,United States,5k-25k,unknown,research
AKAI SOLO,@akai_solo,,AKAI SOLO,hip-hop,United States,5k-25k,unknown,research
Your Old Droog,@yourolddroog,,Your Old Droog,hip-hop,United States,25k-100k,unknown,check
Planet Asia,@planetasiahpg,,Planet Asia,hip-hop,United States,25k-100k,unknown,check
Blu,@bluofjohnson,,Blu,hip-hop,United States,25k-100k,unknown,check
Exile,@exiledagger,,Exile,hip-hop,United States,25k-100k,Dirty Science,check
Jay IDK,@idk,,IDK,hip-hop,United States,100k-250k,unknown,check
Adam Kanyama,@adamkanyama,,Adam Kanyama,hip-hop,Sweden,25k-100k,unknown,check
Silvana Imam,@silvanaimam,,Silvana Imam,hip-hop,Sweden,100k-250k,unknown,check
Dani M,@danimofficial,,Dani M,hip-hop,Sweden,25k-100k,unknown,research
Näääk,@naaaak,,Näääk,hip-hop,Sweden,25k-100k,unknown,research
Ant Wan,@antwan,,Ant Wan,hip-hop,Sweden,100k-250k,unknown,research
1.Cuz,@1cuz,,1.Cuz,hip-hop,Sweden,25k-100k,unknown,research
Z.E,@ze_music,,Z.E,hip-hop,Sweden,25k-100k,unknown,research
Branco,@branco,,Branco,hip-hop,Denmark,100k-250k,unknown,check
Kidd,@kiddofficial,,Kidd,hip-hop,Denmark,100k-250k,unknown,check
Pede B,@pedeb_,,Pede B,hip-hop,Denmark,25k-100k,unknown,research
OnklP,@onklp,,OnklP,hip-hop,Norway,25k-100k,unknown,research
Karpe,@karpeofficial,,Karpe,hip-hop,Norway,100k-250k,unknown,check
Ethel Cain,@mothercain,@mothercain,Ethel Cain,pop,United States,250k+,Daughters of Cain,check
Samia,@samiafinnerty,@samia,Samia,pop,United States,100k-250k,Grand Jury,check
Remi Wolf,@remiwolf,@remiwolf,Remi Wolf,pop,United States,250k+,Island,check
Sasha Sloan,@sadgirlsloan,@sashaalexsloan,Sasha Alex Sloan,pop,United States,250k+,unknown,check
Claud,@bigclaud_,@bigclaud_,Claud,pop,United States,100k-250k,Saddest Factory,check
Snail Mail,@snailmailband,@snailmailband,Snail Mail,pop,United States,100k-250k,Matador,check
The Japanese House,@japanesehouse,@thejapanesehouse,The Japanese House,pop,United Kingdom,100k-250k,Dirty Hit,check
Alvvays,@alvvaysband,,Alvvays,pop,Canada,100k-250k,Polyvinyl,check
Wet Leg,@wetlegband,@wetlegband,Wet Leg,pop,United Kingdom,250k+,Domino,check
Soccer Mommy,@soccermommyband,,Soccer Mommy,pop,United States,100k-250k,Loma Vista,check
Indigo De Souza,@indigodesouza,,Indigo De Souza,pop,United States,100k-250k,Saddle Creek,check
Faye Webster,@fayewebster,@fayewebster,Faye Webster,pop,United States,250k+,Secretly Canadian,check
Jay Som,@jaysomband,,Jay Som,pop,United States,25k-100k,Polyvinyl,check
Lucy Dacus,@lucydacus,,Lucy Dacus,pop,United States,250k+,Matador,check
Julien Baker,@julienrbaker,,Julien Baker,pop,United States,250k+,Matador,check
Phoebe Bridgers,@_fake_nudes_,,Phoebe Bridgers,pop,United States,250k+,Dead Oceans,check
Lord Huron,@lordhuron,,Lord Huron,pop,United States,250k+,Iamsound,check
Tennis,@tennis_duo,,Tennis,pop,United States,100k-250k,Mutually Detrimental,check
Beach House,@beachhouseband,,Beach House,pop,United States,250k+,Sub Pop,check
Girl in Red,@girlinred,@girlinred,girl in red,pop,Norway,250k+,World In Red,check
Sigrid,@thisissigrid,@sigrid,Sigrid,pop,Norway,250k+,Island,check
AURORA,@auroramusic,@auroramusic,AURORA,pop,Norway,250k+,Decca,check
Astrid S,@astridsmusic,,Astrid S,pop,Norway,250k+,Universal,check
Aminé,@amine,@amine,Amine,pop,United States,250k+,Republic,check
Grace Ives,@graceives,,Grace Ives,pop,United States,25k-100k,True Panther,check
Sasami,@sassy_sasami,,SASAMI,pop,United States,25k-100k,Domino,check
Kate Bollinger,@katebollinger,,Kate Bollinger,pop,United States,25k-100k,Ghostly,check
Madeline Kenney,@madelinekennny,,Madeline Kenney,pop,United States,5k-25k,Carpark,check
Squirrel Flower,@squirrelflower,,Squirrel Flower,pop,United States,25k-100k,Full Time Hobby,check
Hatchie,@hatchieband,,Hatchie,pop,Australia,100k-250k,Secretly Canadian,check
Cate Le Bon,@catelebon,,Cate Le Bon,pop,United Kingdom,25k-100k,Mexican Summer,check
Aldous Harding,@aldousharding,,Aldous Harding,pop,New Zealand,25k-100k,4AD,check
Caroline Polachek,@carolineplz,,Caroline Polachek,pop,United States,250k+,Perpetual Novice,check
Mitski,@mitskileaks,,Mitski,pop,United States,250k+,Dead Oceans,check
Japanese Breakfast,@jbrekkie,,Japanese Breakfast,pop,United States,250k+,Dead Oceans,check
