name,website,linkedin_url,email,country,territory,catalog_size_est
Roxy Recordings,roxyrecordings.com,linkedin.com/company/roxy-recordings,,Sweden,Nordic,1k-5k
Cosmos Music Group,cosmosmusic.se,linkedin.com/company/cosmos-music,,Sweden,Nordic,5k-20k
Woah Dad!,woahdad.com,linkedin.com/company/woah-dad,,Sweden,Nordic,1k-5k
Playground Music Scandinavia,playgroundmusic.com,linkedin.com/company/playground-music-scandinavia,,Sweden,Nordic,5k-20k
Border Music,bordermusic.se,linkedin.com/company/border-music,,Sweden,Nordic,1k-5k
Razzia Records,razzia.se,linkedin.com/company/razzia-records,,Sweden,Nordic,<1k
Lionheart Music Group,lionheart.se,linkedin.com/company/lionheart-music-group,,Sweden,Nordic,1k-5k
Hitch Music,hitchmusic.se,linkedin.com/company/hitch-music,,Sweden,Nordic,<1k
Misty Music,mistymusic.se,linkedin.com/company/misty-music,,Sweden,Nordic,1k-5k
Chimney Music,chimneymusic.se,linkedin.com/company/chimney-music,,Sweden,Nordic,<1k
Despotz Records,despotz.se,linkedin.com/company/despotz-records,,Sweden,Nordic,<1k
Lamour Records,lamour.nu,linkedin.com/company/lamour-records,,Sweden,Nordic,<1k
Gaphals,gaphals.com,linkedin.com/company/gaphals,,Sweden,Nordic,<1k
Disco:wax,discowax.com,linkedin.com/company/disco-wax,,Denmark,Nordic,1k-5k
Copenhagen Records,copenhagenrecords.dk,linkedin.com/company/copenhagen-records,,Denmark,Nordic,1k-5k
Mermaid Records,mermaidrecords.com,linkedin.com/company/mermaid-records,,Denmark,Nordic,<1k
Iceberg Records,iceberg-records.com,linkedin.com/company/iceberg-records,,Denmark,Nordic,1k-5k
Stunt Records,stuntrecords.dk,linkedin.com/company/stunt-records,,Denmark,Nordic,<1k
Target Records,targetrecords.com,linkedin.com/company/target-records,,Denmark,Nordic,<1k
Crunchy Frog Recordings,crunchyfrog.dk,linkedin.com/company/crunchy-frog-recordings,,Denmark,Nordic,<1k
Grappa Musikkforlag,grappa.no,linkedin.com/company/grappa-musikkforlag,,Norway,Nordic,1k-5k
Apollon Records,apollonrecords.no,linkedin.com/company/apollon-records,,Norway,Nordic,<1k
Drabant Music,drabantmusic.com,linkedin.com/company/drabant-music,,Norway,Nordic,1k-5k
Propeller Recordings,propellerrecordings.com,linkedin.com/company/propeller-recordings,,Norway,Nordic,1k-5k
Made Management,made.no,linkedin.com/company/made-management,,Norway,Nordic,<1k
Rune Grammofon,runegrammofon.com,linkedin.com/company/rune-grammofon,,Norway,Nordic,<1k
Jansen Records,jansenrecords.no,linkedin.com/company/jansen-records,,Norway,Nordic,<1k
Svart Records,svartrecords.com,linkedin.com/company/svart-records,,Finland,Nordic,<1k
Fullsteam Records,fullsteam.fi,linkedin.com/company/fullsteam-records,,Finland,Nordic,<1k
Johanna Kustannus,johannakustannus.fi,linkedin.com/company/johanna-kustannus,,Finland,Nordic,<1k
Fried Music,friedmusic.is,linkedin.com/company/fried-music,,Iceland,Nordic,<1k
Smekkleysa SM,smekkleysa.is,linkedin.com/company/smekkleysa,,Iceland,Nordic,<1k
Bedroom Community,bedroomcommunity.net,linkedin.com/company/bedroom-community,,Iceland,Nordic,<1k
Notting Hill Music,nottinghillmusic.com,linkedin.com/company/notting-hill-music,,United Kingdom,UK,5k-20k
Strictly Confidential,strictlyconfidential.com,linkedin.com/company/strictly-confidential,,United Kingdom,UK,1k-5k
Phrased Differently,phraseddifferently.com,linkedin.com/company/phrased-differently,,United Kingdom,UK,1k-5k
Eaton Music,eatonmusic.com,linkedin.com/company/eaton-music,,United Kingdom,UK,1k-5k
Eclipse Music,eclipsemusicuk.com,linkedin.com/company/eclipse-music-uk,,United Kingdom,UK,<1k
Westbury Music,westburymusic.com,linkedin.com/company/westbury-music,,United Kingdom,UK,1k-5k
Bucks Music Group,bucksmusicgroup.com,linkedin.com/company/bucks-music-group,,United Kingdom,UK,5k-20k
Manners McDade,mannersmcdade.co.uk,linkedin.com/company/manners-mcdade,,United Kingdom,UK,<1k
Tileyard Music,tileyardmusic.com,linkedin.com/company/tileyard-music,,United Kingdom,UK,1k-5k
Just Isn't Music,justisntmusic.com,linkedin.com/company/just-isnt-music,,United Kingdom,UK,1k-5k
Big Life Music,biglifemusic.com,linkedin.com/company/big-life-management,,United Kingdom,UK,1k-5k
Fairwood Music,fairwoodmusic.com,linkedin.com/company/fairwood-music,,United Kingdom,UK,<1k
Chelsea Music Publishing,chelseamusicpublishing.com,linkedin.com/company/chelsea-music-publishing,,United Kingdom,UK,1k-5k
Perfect Songs,perfectsongs.com,linkedin.com/company/perfect-songs,,United Kingdom,UK,<1k
Faber Music,fabermusic.com,linkedin.com/company/faber-music,,United Kingdom,UK,5k-20k
State51 Music Publishing,state51.com,linkedin.com/company/state51-conspiracy,,United Kingdom,UK,1k-5k
Bug Music,bugmusic.com,linkedin.com/company/bug-music,,United Kingdom,UK,1k-5k
Mute Song,mutesong.com,linkedin.com/company/mute-song,,United Kingdom,UK,1k-5k
Beggars Music,beggars.com,linkedin.com/company/beggars-group,,United Kingdom,UK,5k-20k
BDI Music,bdimusic.com,linkedin.com/company/bdi-music,,United Kingdom,UK,1k-5k
Kassner Associated Publishers,kassner.co.uk,linkedin.com/company/kassner-associated-publishers,,United Kingdom,UK,1k-5k
Stage Three Music,stagethreemusic.com,linkedin.com/company/stage-three-music,,United Kingdom,UK,1k-5k
Independent Music Group,independentmusicgroup.com,linkedin.com/company/independent-music-group,,United Kingdom,UK,1k-5k
Domino Publishing Company,dominopublishingco.com,linkedin.com/company/domino-publishing-company,,United Kingdom,UK,1k-5k
Ninja Tune Publishing,ninjatune.net,linkedin.com/company/ninja-tune,,United Kingdom,UK,1k-5k
Mushroom Music UK,mushroommusic.com,linkedin.com/company/mushroom-music,,United Kingdom,UK,1k-5k
Heavenly Recordings,heavenlyrecordings.com,linkedin.com/company/heavenly-recordings,,United Kingdom,UK,<1k
Warp Publishing,warp.net,linkedin.com/company/warp-records,,United Kingdom,UK,1k-5k
XL Publishing,xlrecordings.com,linkedin.com/company/xl-recordings,,United Kingdom,UK,1k-5k
4AD Music Publishing,4ad.com,linkedin.com/company/4ad,,United Kingdom,UK,1k-5k
Rough Trade Publishing,roughtrade.com,linkedin.com/company/rough-trade-records,,United Kingdom,UK,1k-5k
Transgressive Records,transgressiverecords.com,linkedin.com/company/transgressive-records,,United Kingdom,UK,<1k
Bella Union,bellaunion.com,linkedin.com/company/bella-union,,United Kingdom,UK,<1k
Partisan Records,partisanrecords.com,linkedin.com/company/partisan-records,,United Kingdom,UK/US,1k-5k
Counter Records,counterrecords.com,linkedin.com/company/counter-records,,United Kingdom,UK,<1k
Reservoir Media,reservoir-media.com,linkedin.com/company/reservoir-holdings-inc,,United States,US/Global,20k+
Primary Wave Music Publishing,primarywave.com,linkedin.com/company/primary-wave-music-publishing,,United States,US/Global,20k+
Downtown Music Publishing,downtownmusic.com,linkedin.com/company/downtown-music-publishing,,United States,US/Global,20k+
peermusic,peermusic.com,linkedin.com/company/peermusic,,United States,US/Global,20k+
Spirit Music Group,spiritmusicgroup.com,linkedin.com/company/spirit-music-group,,United States,US/Global,5k-20k
Pulse Music Group,pulsemusicgroup.com,linkedin.com/company/pulse-music-group,,United States,US,1k-5k
Position Music,positionmusic.com,linkedin.com/company/position-music,,United States,US,1k-5k
Songs Music Publishing,songsmp.com,linkedin.com/company/songs-music-publishing,,United States,US/Global,5k-20k
Ultra Music Publishing,ultramusic.com,linkedin.com/company/ultra-music,,United States,US/Global,5k-20k
Royalty Network,royaltynetwork.com,linkedin.com/company/royalty-network,,United States,US,1k-5k
Big Loud Publishing,bigloud.com,linkedin.com/company/big-loud-records,,United States,US,1k-5k
Prescription Songs,prescriptionsongs.com,linkedin.com/company/prescription-songs,,United States,US,1k-5k
Artist Publishing Group,artistpublishinggroup.com,linkedin.com/company/artist-publishing-group,,United States,US,1k-5k
Third Side Music,thirdsidemusic.com,linkedin.com/company/third-side-music,,Canada,US/Global,5k-20k
Range Music,rangemediapartners.com,linkedin.com/company/range-media-partners,,United States,US,1k-5k
Anthem Entertainment,anthementertainment.com,linkedin.com/company/anthem-entertainment,,Canada,US/Global,5k-20k
Round Hill Music,roundhillmusic.com,linkedin.com/company/round-hill-music,,United States,US/Global,20k+
Big Deal Music,bigdealmusic.com,linkedin.com/company/big-deal-music,,United States,US,5k-20k
Mom+Pop Music,momandpopmusic.com,linkedin.com/company/mom-pop-music,,United States,US,1k-5k
Secretly Publishing,secretlypublishing.com,linkedin.com/company/secretly-publishing,,United States,US,1k-5k
Sub Pop Publishing,subpop.com,linkedin.com/company/sub-pop-records,,United States,US,1k-5k
Merge Records,mergerecords.com,linkedin.com/company/merge-records,,United States,US,<1k
Ghostly International,ghostly.com,linkedin.com/company/ghostly-international,,United States,US,<1k
Stones Throw,stonesthrow.com,linkedin.com/company/stones-throw-records,,United States,US,<1k
Saddle Creek,saddle-creek.com,linkedin.com/company/saddle-creek,,United States,US,<1k
Jagjaguwar,jagjaguwar.com,linkedin.com/company/jagjaguwar,,United States,US,<1k
Dead Oceans,deadoceans.com,linkedin.com/company/dead-oceans,,United States,US,<1k
Carpark Records,carparkrecords.com,linkedin.com/company/carpark-records,,United States,US,<1k
Polyvinyl Records,polyvinylrecords.com,linkedin.com/company/polyvinyl-records,,United States,US,<1k
Captured Tracks,capturedtracks.com,linkedin.com/company/captured-tracks,,United States,US,<1k
Fat Possum Records,fatpossum.com,linkedin.com/company/fat-possum-records,,United States,US,<1k
Anti Records,anti.com,linkedin.com/company/anti-,,United States,US,<1k
Epitaph Records,epitaph.com,linkedin.com/company/epitaph-records,,United States,US,1k-5k
Mass Appeal Records,massappeal.com,linkedin.com/company/mass-appeal,,United States,US,1k-5k
Fools Gold Records,foolsgoldrecs.com,linkedin.com/company/fools-gold-records,,United States,US,<1k
Shady Records,shady.com,linkedin.com/company/shady-records,,United States,US,1k-5k
300 Entertainment Publishing,300ent.com,linkedin.com/company/300-entertainment,,United States,US,1k-5k
Dreamville Publishing,dreamville.com,linkedin.com/company/dreamville,,United States,US,<1k
Matador Records,matadorrecords.com,linkedin.com/company/matador-records,,United States,US,1k-5k
Hopeless Records,hopelessrecords.com,linkedin.com/company/hopeless-records,,United States,US,<1k
Fueled By Ramen,fueledbyramen.com,linkedin.com/company/fueled-by-ramen,,United States,US,1k-5k
Sacred Bones Records,sacredbonesrecords.com,linkedin.com/company/sacred-bones-records,,United States,US,<1k
Western Vinyl,westernvinyl.com,linkedin.com/company/western-vinyl,,United States,US,<1k
Mexican Summer,mexicansummer.com,linkedin.com/company/mexican-summer,,United States,US,<1k
Kranky,kranky.net,linkedin.com/company/kranky,,United States,US,<1k
Hyperdub,hyperdub.net,linkedin.com/company/hyperdub,,United Kingdom,UK,<1k
Budde Music,buddemusic.de,linkedin.com/company/budde-music,,Germany,EU,5k-20k
Edition Meerliebe,meerliebe.com,linkedin.com/company/edition-meerliebe,,Germany,EU,<1k
Kick The Flame,kicktheflame.com,linkedin.com/company/kick-the-flame,,Germany,EU,<1k
Freibank Musikverlag,freibank.com,linkedin.com/company/freibank,,Germany,EU,1k-5k
Kontor New Media,kontornewmedia.com,linkedin.com/company/kontor-new-media,,Germany,EU,1k-5k
edel Music Publishing,edel.com,linkedin.com/company/edel-ag,,Germany,EU,5k-20k
Morr Music,morrmusic.com,linkedin.com/company/morr-music,,Germany,EU,<1k
Fabrique Records,fabriquerecords.com,linkedin.com/company/fabrique-records,,Germany,EU,<1k
Haldern Pop Recordings,haldern-pop.com,linkedin.com/company/haldern-pop,,Germany,EU,<1k
Because Music,becausemusic.com,linkedin.com/company/because-music,,France,EU,5k-20k
Naive Music,naive.fr,linkedin.com/company/naive,,France,EU,1k-5k
Wagram Music,wagram.fr,linkedin.com/company/wagram-music,,France,EU,5k-20k
Kuroneko Music,kuronekomusic.fr,linkedin.com/company/kuroneko-music,,France,EU,<1k
Kitsune Music,kitsune.fr,linkedin.com/company/kitsune,,France,EU,<1k
Tricatel,tricatel.com,linkedin.com/company/tricatel,,France,EU,<1k
Strengholt Music Group,strengholt.nl,linkedin.com/company/strengholt-music-group,,Netherlands,EU,1k-5k
Cloud 9 Music,cloud9music.com,linkedin.com/company/cloud-9-music,,Netherlands,EU,1k-5k
Top Notch Music,topnotch.tv,linkedin.com/company/top-notch,,Netherlands,EU,1k-5k
8ball Music,8ballmusic.com,linkedin.com/company/8ball-music,,Netherlands,EU,<1k
Armada Music Publishing,armadamusic.com,linkedin.com/company/armada-music,,Netherlands,EU,5k-20k
Spinnin Records Publishing,spinninrecords.com,linkedin.com/company/spinnin-records,,Netherlands,EU,5k-20k
Altafonte Network,altafonte.com,linkedin.com/company/altafonte,,Spain,EU,5k-20k
Music Bus Publishing,musicbus.com,linkedin.com/company/music-bus,,Spain,EU,<1k
Reyes Entertainment,reyesentertainment.com,linkedin.com/company/reyes-entertainment,,Spain,EU,<1k
Flipper Music,flippermusic.com,linkedin.com/company/flipper-music,,Italy,EU,1k-5k
Audioglobe,audioglobe.it,linkedin.com/company/audioglobe,,Italy,EU,1k-5k
Carosello Records,carosello.eu,linkedin.com/company/carosello-records,,Italy,EU,1k-5k
Time Records Publishing,timerecords.it,linkedin.com/company/time-records,,Italy,EU,<1k
PIAS,pias.com,linkedin.com/company/pias,,Belgium,EU,5k-20k
News NV,news.be,linkedin.com/company/news-nv,,Belgium,EU,<1k
Play It Again Sam,play-it-again-sam.com,linkedin.com/company/play-it-again-sam,,Belgium,EU,1k-5k
Hoanzl,hoanzl.at,linkedin.com/company/hoanzl,,Austria,EU,<1k
